id,brand,model,reference_number,market_price,case_size,thickness,complications,factory,version,movement,dealer_price,rating,notes,image_url
JLC-MUT-SMSEC,JLC,Master Ultra Thin,Small Seconds,8000,38.5,7.58,Small Seconds,ZF,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/42187275-b492x0v7kbl2zotp1dxbid5e-Square280.jpg
JLC-MUT-PR,JLC,Master Ultra Thin,Power Reserve,8000,39,9.9,"Date, Power Reserve",ZF,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/42341939-ic9ooady757d7xrn4ezlqriz-Square280.jpg
JLC-MUT-WTPR,JLC,Master Ultra Thin,World Time Power Reserve,12500,40,11.8,"Power Reserve, World Time",V9,,MY9015,,4.5,,https://sothebys-md.brightspotcdn.com/c2/36/2df9304348f685058c4ae8b39047/hk0951-9xs67-017-01-1.jpg
JLC-MUT-WTPR,JLC,Master Ultra Thin,World Time Power Reserve,12500,40,11.8,"Power Reserve, World Time",ZF,,MY9015,,4.4,,https://sothebys-md.brightspotcdn.com/c2/36/2df9304348f685058c4ae8b39047/hk0951-9xs67-017-01-1.jpg
JLC-MUT-PC,JLC,Master Ultra Thin,Perpetual Calendar,18500,39,9.2,"Date, Day, Month, Moonphase, Perpetual Calendar",TWF,,MY9015,,3.5,,https://img.chrono24.com/images/uhren/40602628-9nodkm8epy9b3jogs2imckzj-ExtraLarge.jpg
JLC-MUT-TOUR,JLC,Master Ultra Thin,Tourbillon,65000,40,11.3,Tourbillon,RMSF,,Tourbillon,,3.5,,https://img.jaeger-lecoultre.com/product-grid-hero-4/o-dpr-2/7d86c1905dace70d78556349c8cf1eddc6fea9d6.jpg
OME-SM-ALL,Omega,Seamaster,All models,,41,13.5,"Chronograph, Date",VSF,,Clone,,4.5,,https://img.chrono24.com/images/uhren/41575639-gb8lfefsbkp7yye8y2lbmqgl-Square280.jpg
OME-SM-ORF,Omega,Seamaster,Some models,4500,42,13.5,"Date, Helium Escape Valve",ORF,,A2824,,4.0,,https://img.chrono24.com/images/uhren/41911961-nfkqsf571n1rq832b5ajjq5a-Square280.jpg
OME-SM-300BC,Omega,Seamaster,300,12000,41,13.5,Date,OMF,,A2824,,4.0,black ceramic,https://img.chrono24.com/images/uhren/41575639-gb8lfefsbkp7yye8y2lbmqgl-Square280.jpg
OME-SM-AT,Omega,Seamaster,Aqua Terra,4500,41,13.2,Date,VSF,,Clone,,4.5,,https://img.chrono24.com/images/uhren/ogfiyjxb9uea-to68ceh4wm5qxhsu6aj1zt1s-Square280.jpg
OME-SM-AT,Omega,Seamaster,Aqua Terra,4500,41,13.2,Date,OMF,,A2824,,4.0,,https://img.chrono24.com/images/uhren/ogfiyjxb9uea-to68ceh4wm5qxhsu6aj1zt1s-Square280.jpg
OME-SM-AT150,Omega,Seamaster,Aqua Terra 150m,4500,41,13.2,Date,VSF,,Clone,,4.5,Ladies 34mm,https://img.chrono24.com/images/uhren/38915974-rsu0htlxns079a980ybwerlc-Square280.jpg
OME-SM-ATGMT,Omega,Seamaster,Aqua Terra GMT,12000,43,14.0,"Date, GMT",VSF,,Clone,,4.5,,https://img.chrono24.com/images/uhren/40213691-hgg9x6xru0zakxafsghq26bg-Square280.jpg
OME-SM-007,Omega,Seamaster,No Time to Die 007,10500,42,13.15,Date,VSF,,A2824,,4.5,,https://img.chrono24.com/images/uhren/bvij1zsj7zah-6e7h0lks0n11e2u83obttjba-Square280.jpg
OME-SM-D300,Omega,Seamaster,Diver 300M,4500,42,13.5,"Date, Helium Escape Valve",VSF,,Clone,,4.5,,https://img.chrono24.com/images/uhren/41911961-nfkqsf571n1rq832b5ajjq5a-Square280.jpg
OME-SM-D300,Omega,Seamaster,Diver 300M,4500,42,13.5,"Date, Helium Escape Valve",ZF,,A2824,,4.0,,https://img.chrono24.com/images/uhren/41911961-nfkqsf571n1rq832b5ajjq5a-Square280.jpg
OME-SM-D300,Omega,Seamaster,Diver 300M,4500,42,13.5,"Date, Helium Escape Valve",OMF,,A2824,,3.5,,https://img.chrono24.com/images/uhren/41911961-nfkqsf571n1rq832b5ajjq5a-Square280.jpg
OME-SM-UD6000,Omega,Seamaster,Ultra Deep 6000M,,45.5,18.0,"Date, Helium Escape Valve",VSF,,Clone,,4.5,,https://img.chrono24.com/images/uhren/37067427-s0w4kf7fxb61k9siu2m7sq7u-Square280.jpg
